Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Core,Processor,RAM,ROM,SSD,Display
DELL,35500,43000,17% off,4.2,123,,Intel,,,256 GB,39.62 cm
Lenovo,23250,34890,33% off,3.7,522,,Intel,,,256 GB,29.46 cm
acer,134990,149990,10% off,4.5,57,i7 Processor,Intel,,,1 TB,39.62 cm
MSI,114990,156990,26% off,4.3,28,i7 Processor,Intel,,,1 TB,39.62 cm
DELL,77599,89990,13% off,4.2,90,i5 Processor,Intel,,,512GB,39.62 cm
HP,69990,89992,22% off,4.5,198,,AMD,,,512 GB,33.78 cm
DELL,116490,150636,22% off,4.6,5,i7 Processor,Intel,,,1 TB,39.62 cm
ASUS,110990,175190,36% off,4.8,6,i7 Processor,Intel,,,1 TB,39.62 cm
ASUS,32990,49990,34% off,3.7,347,i3 Processor,Intel,,1 TB,,39.62 cm
DELL,79490,108000,26% off,4.5,52,,AMD,,,512 GB,39.62 cm
Lenovo,35990,57990,37% off,3.7,405,i3 Processor,Intel,,1 TB,,39.62 cm
DELL,59990,79287,24% off,4.7,7,,AMD,,,512 GB,40.64 cm
DELL,67990,103000,33% off,4.3,3,i5 Processor,Intel,,,512 GB,39.62 cm
HP,56070,69267,19% off,4.3,7,i3 Processor,Intel,,,512 GB,35.56 cm
ASUS,31990,40990,21% off,3.9,126,i3 Processor,Intel,,1 TB,,35.81 cm
HP,35990,41651,13% off,3.5,42,,AMD,,1 TB,,39.62 cm
DELL,30690,44215,30% off,4.3,1401,,Intel,,,256 GB,39.62 cm
ASUS,44990,55990,19% off,3.9,1500,i5 Processor,Intel,,1 TB,,39.62 cm
ASUS,224990,272990,17% off,4.6,11,i7 Processor,Intel,,,1 TB,39.62 cm
ASUS,44990,56990,21% off,4.4,2807,i3 Processor,Intel,,,512 GB,35.56 cm
ALIENWARE,250000,293080,14% off,4.0,5,i7 Processor,Intel,,,1 TB,39.62 cm
ALIENWARE,199990,223322,10% off,4.9,12,i7 Processor,Intel,,,512 GB,39.62 cm
Lenovo,56990,76890,25% off,4.3,402,,AMD,,1 TB,,39.62 cm
ASUS,179990,227990,21% off,5.0,3,i7 Processor,Intel,,,1 TB,40.64 cm
ASUS,105990,137990,23% off,4.0,17,,AMD,,,1 TB,39.62 cm
Lenovo,169990,223890,24% off,2.5,2,i7 Processor,Intel,,,1 TB,35.56 cm
ASUS,81990,103990,21% off,4.3,4,,AMD,,512 GB,512 GB,39.62 cm
Lenovo,62500,93690,33% off,4.2,106,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
DELL,72990,75826,3% off,4.4,42,i5 Processor,Intel,,,512 GB,39.62 cm
